cik,company_name,form_type,filing_date,filename,accession_number
0001095785,SAGE CAPITAL LP,REGDEX,1993-12-30,edgar/data/1095785/9999999997-02-056978.txt,9999999997-02-056978
0000011860,BETHLEHEM STEEL CORP /DE/,10-Q,1993-11-12,edgar/data/11860/0000011860-94-000005.txt,0000011860-94-000005
0000017206,CAPITAL HOLDING CORP,10-K/A,1993-12-22,edgar/data/17206/0000017206-94-000007.txt,0000017206-94-000007
0000205239,DATAPOINT CORP,10-Q,1993-12-14,edgar/data/205239/0000205239-94-000003.txt,0000205239-94-000003
0000020762,CLARK REFINING & MARKETING INC,10-Q,1993-11-12,edgar/data/20762/0000950131-94-000025.txt,0000950131-94-000025
0000029082,DISNEY WALT CO,10-K,1993-12-22,edgar/data/29082/0000950131-94-000021.txt,0000950131-94-000021
0000314808,ENERGY SERVICE COMPANY INC,11-KT,1993-12-31,edgar/data/314808/0000314808-94-000032.txt,0000314808-94-000032
0000032377,ELIZABETHTOWN GAS CO,10-K,1993-12-13,edgar/data/32377/0000032377-94-000001.txt,0000032377-94-000001
0000353944,INTERNATIONAL GAME TECHNOLOGY,10-K,1993-12-23,edgar/data/353944/0000353944-94-000005.txt,0000353944-94-000005
0000060512,LOUISIANA LAND & EXPLORATION CO,10-K/A,1993-10-07,edgar/data/60512/0000060512-94-000006.txt,0000060512-94-000006
0000060512,LOUISIANA LAND & EXPLORATION CO,10-Q,1993-11-10,edgar/data/60512/0000060512-94-000007.txt,0000060512-94-000007
0000060512,LOUISIANA LAND & EXPLORATION CO,8-K,1993-10-29,edgar/data/60512/0000060512-94-000008.txt,0000060512-94-000008
0000066740,MINNESOTA MINING & MANUFACTURING CO,10-Q,1993-11-12,edgar/data/66740/0000066740-94-000016.txt,0000066740-94-000016
0000860585,RBS PARTNERS L P /CT,13FCONP,1993-11-15,edgar/data/860585/9999999997-04-035723.txt,9999999997-04-035723
0000861439,AMERICAN MEDICAL HOLDINGS INC,10-K,1993-11-29,edgar/data/861439/0000912057-94-000263.txt,0000912057-94-000263
0000894088,JP MORGAN INSTITUTIONAL FUNDS,NT-NSAR,1993-12-30,edgar/data/894088/9999999997-05-036750.txt,9999999997-05-036750
0000895421,MORGAN STANLEY DEAN WITTER & CO,SC 13D/A,1993-11-08,edgar/data/895421/0001021408-01-503754.txt,0001021408-01-503754
0000909465,AFFILIATE STKHLDRS OF MORGAN STANLEY DEAN WITTER DISCOVER&CO,SC 13D/A,1993-11-08,edgar/data/909465/0001021408-01-503754.txt,0001021408-01-503754
0000926688,SMITH THOMAS W,13F-HR,1993-11-12,edgar/data/926688/9999999997-05-015667.txt,9999999997-05-015667
0000926688,SMITH THOMAS W,13FCONP,1993-11-15,edgar/data/926688/9999999997-05-015669.txt,9999999997-05-015669
