cik,company_name,form_type,filing_date,filename,accession_number
0000060512,LOUISIANA LAND & EXPLORATION CO,10-Q,1993-08-13,edgar/data/60512/0000060512-94-000005.txt,0000060512-94-000005
0000066740,MINNESOTA MINING & MANUFACTURING CO,10-Q,1993-08-13,edgar/data/66740/0000066740-94-000015.txt,0000066740-94-000015
0000860585,RBS PARTNERS L P /CT,13FCONP,1993-08-13,edgar/data/860585/9999999997-04-035732.txt,9999999997-04-035732
0000873611,MERRILL LYNCH FL MUN BOND FD OF MERRILL LYNCH MUL ST MUN SER,24F-2NT,1993-09-28,edgar/data/873611/0000873611-93-000002.txt,0000873611-93-000002
0000885723,SEARS EQUITY INVESTMENT TRUST SELECTED OPPORTUNITIES SER 13,24F-2NT,1993-07-13,edgar/data/885723/0000950162-93-000185.txt,0000950162-93-000185
0000926688,SMITH THOMAS W,13F-HR,1993-08-13,edgar/data/926688/9999999997-05-015665.txt,9999999997-05-015665
0000099193,TRANSAMERICA FINANCE CORP,S-3,1993-07-13,edgar/data/99193/0000950131-93-000153.txt,0000950131-93-000153
